First Name,Last Name ,Year,Salaries,Rank
Jarvis,Hayes,2000,NA,614
Nick,Collison,2000,NA,615
Mickael,Pietrus,2000,NA,616
Marcus,Banks,2000,NA,617
Luke,Ridnour,2000,NA,618
Reece,Gaines,2000,NA,619
Troy,Bell,2000,NA,620
Zarko,Cabarkapa,2000,NA,621
David,West,2000,NA,622
Aleksandar,Pavlovic,2000,NA,623
Dahntay,Jones,2000,NA,624
Boris,Diaw,2000,NA,625
Zoran,Planinic,2000,NA,626
Travis,Outlaw,2000,NA,627
Brian,Cook,2000,NA,628
Ndudi,Ebi,2000,NA,629
Maciej,Lampe,2000,NA,630
Kendrick,Perkins,2000,NA,631
Leandro,Barbosa,2000,NA,632
Josh,Howard,2000,NA,633
Oliver,Miller,2000,NA,634
Travis,Hansen,2000,NA,635
Brandon,Hunter,2000,NA,636
Linton,Johnson,2000,NA,637
Jason,Kapono,2000,NA,638
Jon,Stefansson,2000,NA,639
Marquis,Daniels,2000,NA,640
Francisco,Elson,2000,NA,641
James,Jones,2000,NA,642
Josh,Moore,2000,NA,643
Luke,Walton,2000,NA,644
Theron,Smith,2000,NA,645
Jerome,Beasley,2000,NA,646
Udonis,Haslem,2000,NA,647
Keith,McLeod,2000,NA,648
Richie,Frahm,2000,NA,649
Keith,Bogans,2000,NA,650
Zaza,Pachulia,2000,NA,651
Kyle,Korver,2000,NA,652
Willie,Green,2000,NA,653
Darius,Songaila,2000,NA,654
Alex,Garcia,2000,NA,655
Ben,Handlogten,2000,NA,656
Maurice,Williams,2000,NA,657
Steve,Blake,2000,NA,658
Paul,Grant,2000,NA,659
Matt,Carroll,2000,NA,660
Kaniel,Dickens,2000,NA,661
Ben,Davis,2000,NA,662
Slavko,Vranes,2000,NA,663
Shane,Heal,2000,NA,664
Britton,Johnsen,2000,NA,665
Dwight,Howard,2000,NA,666
Emeka,Okafor,2000,NA,667
Ben,Gordon,2000,NA,668
Shaun,Livingston,2000,NA,669
Devin,Harris,2000,NA,670
Andres,Nocioni,2000,NA,671
Josh,Childress,2000,NA,672
Luol,Deng,2000,NA,673
Rafael,Araujo,2000,NA,674
Andre,Iguodala,2000,NA,675
Luke,Jackson,2000,NA,676
Andris,Biedrins,2000,NA,677
Robert,Swift,2000,NA,678
Ibo,Kutluay,2000,NA,679
Sebastian,Telfair,2000,NA,680
Kris,Humphries,2000,NA,681
Al,Jefferson,2000,NA,682
Kirk,Snyder,2000,NA,683
Josh,Smith,2000,NA,684
JR,Smith,2000,NA,685
Dorell,Wright,2000,NA,686
Jameer,Nelson,2000,NA,687
Pavel,Podkolzin,2000,NA,688
Viktor,Khryapa,2000,NA,689
Delonte,West,2000,NA,690
Nenad,Krstic,2000,NA,691
Tony,Allen,2000,NA,692
Carlos,Delfino,2000,NA,693
Kevin,Martin,2000,NA,694
Sasha,Vujacic,2000,NA,695
Beno,Udrih,2000,NA,696
David,Harrison,2000,NA,697
Didier,Ilunga-Mbenga,2000,NA,698
Anderson,Varejao,2000,NA,699
Eddie,Gill,2000,NA,700
Matt,Barnes,2000,NA,701
Tommy,Smith,2000,NA,702
Ronald,Dupree,2000,NA,703
Quinton,Ross,2000,NA,704
Josh,Davis,2000,NA,705
Peter,John,2000,NA,706
Lionel,Chalmers,2000,NA,707
Donta,Smith,2000,NA,708
Royal,Ivey,2000,NA,709
Justin,Reed,2000,NA,710
Bernard,Robinson,2000,NA,711
Chris,Duhon,2000,NA,712
Jared,Reiner,2000,NA,713
Arthur,Johnson,2000,NA,714
Horace,Jenkins,2000,NA,715
Luis,Flores,2000,NA,716
Andre,Barrett,2000,NA,717
John,Edwards,2000,NA,718
Andre,Emmett,2000,NA,719
Antonio,Burks,2000,NA,720
Trevor,Ariza,2000,NA,721
Damien,Wilkins,2000,NA,722
Mario,Kasun,2000,NA,723
Jackson,Vroman,2000,NA,724
Erik,Daniels,2000,NA,725
Romain,Sato,2000,NA,726
Matt,Bonner,2000,NA,727
Pape,Sow,2000,NA,728
Matt,Freije,2000,NA,729
Corsley,Edwards,2000,NA,730
Tony,Bobbitt,2000,NA,731
Yuta,Tabuse,2000,NA,732
Awvee,Storey,2000,NA,733
Geno,Carlisle,2000,NA,734
Andrew,Bogut,2000,NA,735
Sarunas,Jasikevicius,2000,NA,736
Marvin,Williams,2000,NA,737
Deron,Williams,2000,NA,738
Chris,Paul,2000,NA,739
Raymond,Felton,2000,NA,740
Martell,Webster,2000,NA,741
Arvydas,Macijauskas,2000,NA,742
Charlie,Villanueva,2000,NA,743
Fabricio,Oberto,2000,NA,744
Jose,Calderon,2000,NA,745
Channing,Frye,2000,NA,746
Ike,Diogu,2000,NA,747
Andrew,Bynum,2000,NA,748
Yaroslav,Korolev,2000,NA,749
Sean,May,2000,NA,750
Rashad,McCants,2000,NA,751
Antoine,Wright,2000,NA,752
Joey,Graham,2000,NA,753
Danny,Granger,2000,NA,754
Gerald,Green,2000,NA,755
Hakim,Warrick,2000,NA,756
Julius,Hodge,2000,NA,757
Nate,Robinson,2000,NA,758
Jarrett,Jack,2000,NA,759
Sergey,Monya,2000,NA,760
Francisco,Garcia,2000,NA,761
Luther,Head,2000,NA,762
Johan,Petro,2000,NA,763
Jason,Maxiell,2000,NA,764
Linas,Kleiza,2000,NA,765
Wayne,Simien,2000,NA,766
David,Lee,2000,NA,767
Salim,Stoudamire,2000,NA,768
Ha,Seung-Jin,2000,NA,769
James,Singleton,2000,NA,770
Daniel,Ewing,2000,NA,771
Louis,Williams,2000,NA,772
Monta,Ellis,2000,NA,773
Ryan,Gomes,2000,NA,774
Chris,Taft,2000,NA,775
Esteban,Batista,2000,NA,776
Orien,Greene,2000,NA,777
Alan,Anderson,2000,NA,778
Kevin,Burleson,2000,NA,779
Eddie,Basden,2000,NA,780
Martynas,Andriuskevicius,2000,NA,781
Josh,Powell,2000,NA,782
Rawle,Marshall,2000,NA,783
Alex,Acker,2000,NA,784
Amir,Johnson,2000,NA,785
Boniface,N'Dong,2000,NA,786
Von,Wafer,2000,NA,787
Devin,Green,2000,NA,788
Anthony,Roberson,2000,NA,789
